Digitale Kriminalität: Modi Operandi der digitalen Kriminalität und beschuldigte Personen,,,,,,,,,,,,,,,,,,,,,,,,,T 19.02.09.01.02
Schweiz Jahr 2024,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Altersgruppen,,,,,,,,,,,,,Geschecht,,,,Aufenthaltsstatus,,,
Modi operandi1),Straftaten2),"aufgeklärte
Sraftaten",Aufklärungsrate,Total beschuldigte Personen,<10,10-14,15-17,"18, 19",20-24,25-29,30-34,35-39,40-49,50-59,60-69,70+,s.n.,männlich,weiblich,juristische Personen,o.A.,Total,Ständige Wohnbev.,Asyl-Bevölkerung,Übrige Ausländer
Total digitale Kriminalität, 59 034 , 10 962 ,18.6%, 6 166 ,  18 ,  530 ,  622 ,  390 ,  763 ,  626 ,  602 ,  526 ,  813 ,  649 ,  354 ,  176 ,  4 , 4 600 , 1 473 ,  93 ,0 , 6 073 , 5 007 ,  206 ,  860 
Cyber Wirtschaftskriminalität, 55 413 , 7 869 ,14.2%, 3 896 ,0 ,  58 ,  159 ,  262 ,  571 ,  485 ,  470 ,  377 ,  577 ,  461 ,  245 ,  134 ,  4 , 2 631 , 1 172 ,  93 ,0 , 3 803 , 2 895 ,  135 ,  773 
Phishing, 5 930 ,  317 ,5.3%,  180 ,0 ,  1 ,  7 ,  24 ,  47 ,  22 ,  15 ,  12 ,  23 ,  13 ,  11 ,  4 ,0 ,  128 ,  51 ,  1 ,0 ,  179 ,  112 ,  8 ,  59 
Hacking: Gewaltsames Eindringen in ein Datenverarbeitungssystem,  186 ,  18 ,9.7%,  12 ,0 ,  1 ,0 ,  1 ,  2 ,  3 ,  2 ,0 ,  2 ,  1 ,0 ,0 ,0 ,  10 ,  2 ,0 ,0 ,  12 ,  9 ,0 ,  3 
Hacking: Eindringen in ein Datenverarbeitungssystem mit fremden Zugangsdaten, 1 164 ,  164 ,14.1%,  115 ,0 ,  4 ,  13 ,  7 ,  15 ,  13 ,  13 ,  7 ,  18 ,  12 ,  9 ,  4 ,0 ,  87 ,  28 ,0 ,0 ,  115 ,  95 ,  3 ,  17 
Malware – Ransomware,  174 ,  3 ,1.7%,  3 ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  
Malware – E-Banking Trojaner,  49 ,  5 ,10.2%,  4 ,0 ,0 ,0 ,  1 ,  1 ,0 ,0 ,0 ,  1 ,0 ,0 ,  1 ,0 ,  3 ,  1 ,0 ,0 ,  4 ,  1 ,  1 ,  2 
Malware – Spyware,  19 ,  5 ,26.3%,  6 ,0 ,0 ,0 ,0 ,  4 ,0 ,  2 ,0 ,0 ,0 ,0 ,0 ,0 ,  5 ,  1 ,0 ,0 ,  6 ,  6 ,0 ,0 
Malware – Rogueware/Scareware,  110 ,  10 ,9.1%,  9 ,0 ,0 ,0 ,  1 ,  2 ,  2 ,  1 ,  1 ,  2 ,0 ,0 ,0 ,0 ,  5 ,  4 ,0 ,0 ,  9 ,  5 ,  1 ,  3 
Malware – Botnet,  9 ,0 ,0.0%,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
